HGHT,TEMP
m,C
6,24.6
131,23.2
297,21.9
601,19.4
757,18.2
804,17.8
841,17.6
897,17.4
1056,16.8
1366,15.6
1454,15.2
1524,15.2
1848,13.8
1973,13.2
2098,12.7
2269,12
2421,11.8
2686,10.3
3018,8.3
3147,7.6
3953,1.6
4145,0
4196,-0.3
4327,-1.1
4393,-1.3
5065,-5.4
5080,-5.5
5590,-8.4
5820,-9.7
6103,-11.7
6167,-12.1
6609,-15.5
6901,-17.7
7418,-20.7
7510,-21.3
8039,-24.3
8318,-25.9
8460,-26.3
8855,-29.6
9319,-33.5
9570,-35.9
9735,-37.5
10024,-39.5
10098,-39.7
10402,-38.4
10428,-38.3
10830,-40.3
11050,-42.3
11329,-44.4
12310,-51.7
13753,-62.2
14120,-64.9
14669,-69.7
15251,-73.5
16277,-80.3
16332,-80.5
16500,-79.9
16851,-78.9
17231,-77.9
17489,-78.5
17502,-78.5
17897,-76.1
18100,-75.5
18540,-71.5
19007,-70.1
19169,-69
20137,-62.7
20580,-60.3
20592,-60.3
21393,-58.5
21819,-59.6
22131,-60.3
22293,-60.7
22442,-61.1
22804,-60.5
22821,-60.5
23168,-61.1
23437,-61.5
23556,-60.8
23637,-60.3
23760,-59.5
24194,-57.9
24353,-57.3
25169,-56.4
25275,-56.3
26019,-55.2
26330,-54.7
26659,-53.5
27008,-52.6
27378,-51.7
27454,-51.5
27771,-51.3
28366,-50.9
29125,-49.1
30211,-51.8
30830,-53.3
30895,-53.3
31511,-51.9
31958,-50.9
32279,-49.8
33157,-46.9
33446,-45.9
34187,-42.5
34414,-41.5
34774,-42.1
35025,-41.9
